"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US35580","26030","*****","New Ulm, MN Micro Area"
"310M100US35620","18700715","*****","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area"
"310M100US35660","157232","*****","Niles-Benton Harbor, MI Metro Area"
"310M100US35700","46051","*****","Nogales, AZ Micro Area"
"310M100US35740","48235","*****","Norfolk, NE Micro Area"
"310M100US35820","37338","126","North Platte, NE Micro Area"
"310M100US35840","694819","*****","North Port-Bradenton-Sarasota, FL Metro Area"
"310M100US35860","28470","*****","North Vernon, IN Micro Area"
"310M100US35900","69063","*****","North Wilkesboro, NC Micro Area"
"310M100US35940","59932","*****","Norwalk, OH Micro Area"
"310M100US35980","272360","*****","Norwich-New London, CT Metro Area"
"310M100US36020","78633","*****","Oak Harbor, WA Micro Area"
"310M100US36060","46138","*****","Oak Hill, WV Micro Area"
"310M100US36100","326833","*****","Ocala, FL Metro Area"
